year,rank,artist,gross
2018,6,Eagles ,166
2018,7,Justin Timberlake,151
2018,8,Roger Waters,131.3
2018,9,U2,126.2
2018,10,The Rolling Stones,116.6
2019,1,P!nk,215.2
2019,2,Elton John,212
2019,3,Ed Sheeran,211.7
2019,4,Metallica,179
2019,5,The Rolling Stones,177.8
2019,6,BTS,170.3
2019,7,Bon Jovi,134.2
2019,8,Ariana Grande,118.3
2019,9,Michael Bublé,115.8
2019,10,Fleetwood Metallica,112.2
2020,1,Elton John ,87.1
2020,2,Celine Dion ,71.2
2020,3,Trans-Siberian Orchestra ,58.2
2020,4,U2 ,52.1
2020,5,Queen + Adam Lambert ,44.6
2020,6,Post Malone,40.3
2020,7,Eagles ,33.6
2020,8,Jonas Brothers ,32.7
2020,9,Dead & Company ,26.3
2020,10,Andrea Bocelli ,25.5
2021,1,BTS ,188.51
2021,2,The Rolling Stones,130.91
2021,3,Harry Styles,94.69
2021,4,Grupo Firme,75.21
2021,5,Genesis ,70.2
2021,6,"Green Day, Fall Out Boy & Weezer ",69.33
2021,7,J SOUL BROTHERS ,66.91
2021,8,EXILE TRIBE ,62.56
2021,9,Eagles ,59.16
2021,10,Trans-Siberian Orchestra ,54.62
2022,1,Bad Bunny,373.5
2022,2,Elton John,334.4
2022,3,Ed Sheeran,246.3
2022,4,Harry Styles,214.4
2022,5,Coldplay,208
2022,6,The Rolling Stones,179.3
2022,7,Red Hot Chili Peppers,177
2022,8,Def Leppard and Motley Crue,173.5
2022,9,Kenny Chesney,135
2022,10,The Weeknd,131
2023,1,Taylor Swift,2400
2023,2,Bruce Springsteen & The E Street Band,142.6
2023,3,Harry Styles,124
2023,4,Elton John,110.3
2023,5,Ed Sheeran,105.3
2023,6,Red Hot Chili Peppers,91.5
2023,7,Coldplay,65.4
2023,8,Daddy Yankee,60.5
2023,9,Kevin Hart,50
2023,10,Bad Bunny ,49
